0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:35 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:36 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:36 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:39 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:40 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/May/2019:13:42:47 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:44:36 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:45:22 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [28/May/2019:13:45:24 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:45:26 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:13:45:48 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [28/May/2019:14:09:41 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [28/May/2019:14:12:18 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:14:12:19 +0900] "GET /edu/cssexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:14:12:43 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [28/May/2019:14:12:44 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:14:16:12 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [28/May/2019:14:17:08 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [28/May/2019:14:19:27 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [28/May/2019:14:19:51 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [28/May/2019:14:21:06 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [28/May/2019:14:21:25 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [28/May/2019:14:23:18 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/May/2019:14:24:23 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [28/May/2019:14:26:27 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [28/May/2019:14:26:54 +0900] "GET /edu/cssexam/exam3_2.html HTTP/1.1" 304 -
